variant,density,metric,n_seeds,mean,ci95
baseline,60,committed,30,0.009722222222222222,0.003922137561089051
baseline,60,consensus_size,30,30.0,0.0
baseline,60,control_bytes,30,297810.0,0.0
baseline,60,false_removals,30,25.433333333333334,0.5844850240126082
baseline,60,latency_ms,30,249.00990009119562,2.1194927607555547
baseline,60,malicious_selected,30,4.433333333333334,0.5844850240126082
baseline,60,pdr,30,0.22039796461401892,0.010317771265663874
baseline,60,throughput_packets,30,0.17833066137920162,0.07210584347667
ml,60,committed,30,0.13333333333333333,0.013261172065342325
ml,60,consensus_size,30,33.007222222222225,0.059640815015107165
ml,60,control_bytes,30,327480.7,593.2449416279109
ml,60,false_removals,30,18.948611111111113,0.07195401199715114
ml,60,latency_ms,30,227.64041008270542,1.7049324440654419
ml,60,malicious_selected,30,0.9375,0.059737225238394115
ml,60,pdr,30,0.32095771471610257,0.006898640732484699
ml,60,throughput_packets,30,2.5420259157283183,0.2546747041770847
