variant,density,metric,n_seeds,mean,ci95
baseline,50,committed,30,0.0059722222222222225,0.002587963140026085
baseline,50,consensus_size,30,25.0,0.0
baseline,50,control_bytes,30,248175.0,0.0
baseline,50,false_removal_rate,30,0.4920634920634921,0.01311052664454801
baseline,50,false_removals,30,20.666666666666668,0.5506421190710162
baseline,50,latency_ms,30,235.7604461808125,2.24586775232849
baseline,50,malicious_removal_time,30,300.0,0.0
baseline,50,malicious_selected,30,3.6666666666666665,0.5506421190710162
baseline,50,pdr,30,0.24703595500705794,0.009221560884743466
baseline,50,throughput_packets,30,0.09792786586164258,0.04319139280419623
baseline,100,committed,30,0.0,0.0
baseline,100,consensus_size,30,50.0,0.0
baseline,100,control_bytes,30,496350.0,0.0
baseline,100,false_removal_rate,30,0.49801587301587297,0.008151006697000217
baseline,100,false_removals,30,41.833333333333336,0.684684562548018
baseline,100,latency_ms,30,305.4476133745253,1.2488646037448785
baseline,100,malicious_removal_time,30,300.0,0.0
baseline,100,malicious_selected,30,7.833333333333333,0.684684562548018
baseline,100,pdr,30,0.12661059688508366,0.003447585296470281
baseline,100,throughput_packets,30,0.0,0.0
baseline,150,committed,30,0.0,0.0
baseline,150,consensus_size,30,75.0,0.0
baseline,150,control_bytes,30,744525.0,0.0
baseline,150,false_removal_rate,30,0.4970899470899471,0.007287938240760877
baseline,150,false_removals,30,62.63333333333333,0.91828021833587
baseline,150,latency_ms,30,372.63630992781066,1.1163584811307354
baseline,150,malicious_removal_time,30,300.0,0.0
baseline,150,malicious_selected,30,11.633333333333333,0.91828021833587
baseline,150,pdr,30,0.07339048060090834,0.001507517729738617
baseline,150,throughput_packets,30,0.0,0.0
baseline,200,committed,30,0.0,0.0
baseline,200,consensus_size,30,100.0,0.0
baseline,200,control_bytes,30,992700.0,0.0
baseline,200,false_removal_rate,30,0.5,0.006483540627798021
baseline,200,false_removals,30,83.5,1.0827512848422698
baseline,200,latency_ms,30,440.54482862927637,0.9819529101310188
baseline,200,malicious_removal_time,30,300.0,0.0
baseline,200,malicious_selected,30,16.5,1.0827512848422698
baseline,200,pdr,30,0.04514756253295565,0.0009243206186847784
baseline,200,throughput_packets,30,0.0,0.0
baseline,250,committed,30,0.0,0.0
baseline,250,consensus_size,30,125.0,0.0
baseline,250,control_bytes,30,1240875.0,0.0
baseline,250,false_removal_rate,30,0.5012759170653908,0.005752642521424845
baseline,250,false_removals,30,104.76666666666667,1.2023022869777928
baseline,250,latency_ms,30,507.3955155982591,0.871866239810305
baseline,250,malicious_removal_time,30,300.0,0.0
baseline,250,malicious_selected,30,20.766666666666666,1.2023022869777928
baseline,250,pdr,30,0.02952848031531325,0.0005239691598034939
baseline,250,throughput_packets,30,0.0,0.0
baseline,300,committed,30,0.0,0.0
baseline,300,consensus_size,30,150.0,0.0
baseline,300,control_bytes,30,1489050.0,0.0
baseline,300,false_removal_rate,30,0.4960159362549801,0.005197983717554859
baseline,300,false_removals,30,124.5,1.30469391310627
baseline,300,latency_ms,30,571.8908919901022,0.7809340332544584
baseline,300,malicious_removal_time,30,300.0,0.0
baseline,300,malicious_selected,30,23.5,1.30469391310627
baseline,300,pdr,30,0.024241914700851738,0.0003077020045820524
baseline,300,throughput_packets,30,0.0,0.0
ml,50,committed,30,0.11666666666666667,0.008903186537618263
ml,50,consensus_size,30,27.173333333333336,0.05012081482959584
ml,50,control_bytes,30,269614.5625,496.38998742181457
ml,50,false_removal_rate,30,0.3646164021164021,0.0012252902782701617
ml,50,false_removals,30,15.31388888888889,0.05146219168734676
ml,50,latency_ms,30,213.43450060998796,1.2273167073027662
ml,50,malicious_removal_time,30,12.431844081844082,0.48420982306245075
ml,50,malicious_selected,30,0.47361111111111115,0.05707719690893811
ml,50,pdr,30,0.3638724982337315,0.007247223468825361
ml,50,throughput_packets,30,1.9778368345723565,0.15093461052895732
ml,100,committed,30,0.020694444444444446,0.0035990321117401465
ml,100,consensus_size,30,57.60652777777778,0.0666330368641967
ml,100,control_bytes,30,571602.175,665.2771693669463
ml,100,false_removal_rate,30,0.3673776455026455,0.0015180037305313199
ml,100,false_removals,30,30.85972222222222,0.1275123133646309
ml,100,latency_ms,30,308.5816155161876,0.6598058153561135
ml,100,malicious_removal_time,30,17.94785238572177,0.5303081079555743
ml,100,malicious_selected,30,4.440277777777778,0.13037789370961883
ml,100,pdr,30,0.18668924227256095,0.003940186165891281
ml,100,throughput_packets,30,0.6440847470810389,0.11180517930696697
ml,150,committed,30,0.0008333333333333334,0.0007220040932018705
ml,150,consensus_size,30,89.94416666666666,0.08560670658310136
ml,150,control_bytes,30,892602.75,858.6736462041426
ml,150,false_removal_rate,30,0.36450617283950615,0.0011439014740728282
ml,150,false_removals,30,45.92777777777778,0.14413158573317664
ml,150,latency_ms,30,394.7725233074993,0.3252687590363002
ml,150,malicious_removal_time,30,21.306324868414222,0.4518581000274682
ml,150,malicious_selected,30,9.844444444444443,0.16356471478185258
ml,150,pdr,30,0.10387491739665172,0.0017256508880947599
ml,150,throughput_packets,30,0.03587823073571981,0.0313550542514445
ml,200,committed,30,0.0,0.0
ml,200,consensus_size,30,123.53972222222222,0.0830800667582181
ml,200,control_bytes,30,1226122.375,831.2557288107491
ml,200,false_removal_rate,30,0.3583083832335329,0.0010735335621017547
ml,200,false_removals,30,59.8375,0.17928010487099325
ml,200,latency_ms,30,479.6340090376436,0.2355248318612112
ml,200,malicious_removal_time,30,23.144598724006052,0.4816976044170624
ml,200,malicious_selected,30,16.351388888888888,0.1836037483815433
ml,200,pdr,30,0.06157439186167223,0.0009444270863009223
ml,200,throughput_packets,30,0.0,0.0
ml,250,committed,30,0.0,0.0
ml,250,consensus_size,30,158.54,0.07294679852515923
ml,250,control_bytes,30,1573677.675,723.6565581056699
ml,250,false_removal_rate,30,0.3501993620414673,0.0010346068620177365
ml,250,false_removals,30,73.19166666666666,0.21623283416170672
ml,250,latency_ms,30,565.541968634187,0.1768147369258623
ml,250,malicious_removal_time,30,23.710989458108934,0.3700122867209559
ml,250,malicious_selected,30,22.716666666666665,0.1990581975907977
ml,250,pdr,30,0.037590255311737465,0.0005131864880787363
ml,250,throughput_packets,30,0.0,0.0
ml,300,committed,30,0.0,0.0
ml,300,consensus_size,30,192.99583333333334,0.07370622410125438
ml,300,control_bytes,30,1915759.3375,743.1081280974469
ml,300,false_removal_rate,30,0.3455953961930058,0.0009308853697471915
ml,300,false_removals,30,86.74444444444445,0.2336522278065444
ml,300,latency_ms,30,648.4872840857494,0.19095765815803342
ml,300,malicious_removal_time,30,24.751148709868954,0.387371195178604
ml,300,malicious_selected,30,28.729166666666668,0.23283109261517904
ml,300,pdr,30,0.028922524739804157,0.00031349189185702
ml,300,throughput_packets,30,0.0,0.0
