variant,density,metric,n_seeds,mean,ci95
baseline,30,committed,30,0.11916666666666667,0.026928515179217433
baseline,30,consensus_size,30,15.0,0.0
baseline,30,control_bytes,30,148905.0,0.0
baseline,30,false_removal_rate,30,0.5064102564102564,0.015789384948440354
baseline,30,false_removals,30,13.166666666666666,0.41052400865944944
baseline,30,latency_ms,30,194.35489351442192,5.585049113902773
baseline,30,malicious_removal_time,30,300.0,0.0
baseline,30,malicious_selected,30,2.1666666666666665,0.41052400865944944
baseline,30,pdr,30,0.32911617987933783,0.02072555440262305
baseline,30,throughput_packets,30,1.0990457263867732,0.2565363474603456
baseline,60,committed,30,0.007638888888888889,0.0032545192406009007
baseline,60,consensus_size,30,30.0,0.0
baseline,60,control_bytes,30,297810.0,0.0
baseline,60,false_removal_rate,30,0.49869281045751634,0.011460490666913885
baseline,60,false_removals,30,25.433333333333334,0.5844850240126082
baseline,60,latency_ms,30,249.27261212159752,2.1047871878283457
baseline,60,malicious_removal_time,30,300.0,0.0
baseline,60,malicious_selected,30,4.433333333333334,0.5844850240126082
baseline,60,pdr,30,0.22165315711037964,0.011256062272772038
baseline,60,throughput_packets,30,0.1406283622067916,0.06002294436954394
baseline,90,committed,30,0.0002777777777777778,0.00037828453728003226
baseline,90,consensus_size,30,45.0,0.0
baseline,90,control_bytes,30,446715.0,0.0
baseline,90,false_removal_rate,30,0.48947368421052634,0.007761505355913975
baseline,90,false_removals,30,37.2,0.5898744070494617
baseline,90,latency_ms,30,290.1358928073197,1.2207430949139777
baseline,90,malicious_removal_time,30,300.0,0.0
baseline,90,malicious_selected,30,6.2,0.5898744070494617
baseline,90,pdr,30,0.1492966799276578,0.0048336199611139306
baseline,90,throughput_packets,30,0.0073728855322049034,0.01004154331717115
baseline,120,committed,30,0.0,0.0
baseline,120,consensus_size,30,60.0,0.0
baseline,120,control_bytes,30,595620.0,0.0
baseline,120,false_removal_rate,30,0.49537953795379536,0.00769985442756291
baseline,120,false_removals,30,50.03333333333333,0.7776852971838536
baseline,120,latency_ms,30,331.8649680527917,1.1882746371929422
baseline,120,malicious_removal_time,30,300.0,0.0
baseline,120,malicious_selected,30,9.033333333333333,0.7776852971838536
baseline,120,pdr,30,0.10251031439104491,0.0027869036875051907
baseline,120,throughput_packets,30,0.0,0.0
ml,30,committed,30,0.4220833333333333,0.04091051517929093
ml,30,consensus_size,30,15.795277777777779,0.06848047271021042
ml,30,control_bytes,30,156722.5125,678.1173810921052
ml,30,false_removal_rate,30,0.3981837606837607,0.010453175262545446
ml,30,false_removals,30,10.352777777777778,0.27178255682618147
ml,30,latency_ms,30,145.7442087046318,6.325931120504993
ml,30,malicious_removal_time,30,20.41611111111111,18.91182783559676
ml,30,malicious_selected,30,0.14027777777777778,0.2609247784242479
ml,30,pdr,30,0.47550132344491136,0.022649046423521866
ml,30,throughput_packets,30,4.128749797258988,0.4130576523319524
ml,60,committed,30,0.13041666666666668,0.010045293815595177
ml,60,consensus_size,30,32.97819444444444,0.05829758438426446
ml,60,control_bytes,30,327204.95,577.7618285282826
ml,60,false_removal_rate,30,0.37156862745098035,0.0012413173245269843
ml,60,false_removals,30,18.95,0.0633071835508761
ml,60,latency_ms,30,227.84136300539916,1.4221287558500753
ml,60,malicious_removal_time,30,14.410071788426546,0.6194223409310379
ml,60,malicious_selected,30,0.9111111111111111,0.06100492690638994
ml,60,pdr,30,0.323009524773717,0.006581937118235219
ml,60,throughput_packets,30,2.4986657299955892,0.19818746132956197
ml,90,committed,30,0.042499999999999996,0.007454084225946845
ml,90,consensus_size,30,51.29125,0.06381296472343496
ml,90,control_bytes,30,508924.2,639.4139679622325
ml,90,false_removal_rate,30,0.36977339181286545,0.0014003302056137244
ml,90,false_removals,30,28.102777777777778,0.10642509562664276
ml,90,latency_ms,30,288.92608994031394,1.2143585311510623
ml,90,malicious_removal_time,30,18.03363844446218,0.609621156537815
ml,90,malicious_selected,30,3.3694444444444445,0.13477536140452337
ml,90,pdr,30,0.2143416001383044,0.0049495395456079115
ml,90,throughput_packets,30,1.1887169529226311,0.21464580713277012
ml,120,committed,30,0.010277777777777778,0.0025894438094368325
ml,120,consensus_size,30,70.35027777777778,0.052438478782718304
ml,120,control_bytes,30,698088.7,525.7322842210433
ml,120,false_removal_rate,30,0.3688943894389439,0.0011555349945803078
ml,120,false_removals,30,37.25833333333333,0.11670903445261124
ml,120,latency_ms,30,343.385019934257,0.4403339139039981
ml,120,malicious_removal_time,30,20.096399784061813,0.5226373318196852
ml,120,malicious_selected,30,6.580555555555555,0.11535684912228243
ml,120,pdr,30,0.14701046994682193,0.0028405367925941577
ml,120,throughput_packets,30,0.3705700469496996,0.09333835252799529
